PROJECT LAYOUT REPORT
════════════════════════════════════════════════════════════════════════════════════════════════════════════════════════════════════════════════════════════════════════════════════════════════════════
Module                         | Struct/Enum/Type          | Trait                | Impl            | Function                                                               | Branch     | State     
crate::_old_working::incoming  |                           |                      | N/A             | notify_watch_service(conversation_id: &str, message_id: &str)          | 2.00       | -0.00     
crate::_old_working::outgoing  |                           |                      | N/A             | inject_request_hook(conn: &mut ChromeConnection) -> Result             | 0.50       | -0.00     
crate::_old_working::outgoing  |                           |                      | N/A             | send_message(conn: &mut ChromeConnection, message_text: &str) -> Re... | 1.00       | -0.00     
crate::_old_working::outgoing  |                           |                      | N/A             | open_conversation_tab(chrome_port: u16, conversation_id: &str) -> R... | 0.00       | -0.00     
crate::_old_working::outgoing  |                           |                      | N/A             | open_url_tab(chrome_port: u16, base_url: &str) -> Result               | 4.58       | -0.00     
crate::_old_working::outgoing  |                           |                      | N/A             | open_conversation_tab_via_browser(chrome_port: u16, url: &str) -> R... | 20.59      | 0.69      
crate::incoming                | LocalMessage              |                      |                 |                                                                        |            |           
crate::incoming                | CapturedMessage           |                      |                 |                                                                        |            |           
crate::incoming                | SseMessage                |                      |                 |                                                                        |            |           
crate::incoming                |                           |                      | N/A             | setup_response_listener(conn: &mut ChromeConnection) -> Result         | 1.50       | -0.00     
crate::incoming                |                           |                      | N/A             | wait_for_response(conn: &mut ChromeConnection, send_timestamp: u64,... | 11.30      | -0.00     
crate::incoming                |                           |                      | N/A             | save_message(msg: &CapturedMessage) -> Result                          | 2.00       | -0.00     
crate::incoming                |                           |                      | N/A             | save_sse_messages(msg: &CapturedMessage) -> Result                     | 11.80      | 0.69      
crate::incoming                |                           |                      | N/A             | extract_sse_messages(events: &Self, fallback_conversation_id: &str)... | 16.80      | 0.69      
crate::incoming                |                           |                      | N/A             | extract_event_message(event: &Value) -> Option                         | 8.00       | -0.00     
crate::incoming                |                           |                      | N/A             | write_json_atomic(path: &PathBuf, value: &Value) -> Result             | 3.50       | -0.00     
crate::incoming                |                           |                      | N/A             | notify_watch_service(conversation_id: &str, message_id: &str)          | 2.00       | -0.00     
crate::incoming                |                           |                      | N/A             | save_message_from_value(value: Value) -> Result                        | 0.00       | -0.00     
crate::outgoing                |                           |                      | N/A             | inject_request_hook(conn: &mut ChromeConnection) -> Result             | 0.50       | -0.00     
crate::outgoing                |                           |                      | N/A             | send_message(conn: &mut ChromeConnection, message_text: &str) -> Re... | 1.00       | -0.00     
crate::outgoing                |                           |                      | N/A             | open_conversation_tab(chrome_port: u16, conversation_id: &str) -> R... | 0.00       | -0.00     
crate::outgoing                |                           |                      | N/A             | open_url_tab(chrome_port: u16, base_url: &str) -> Result               | 4.58       | -0.00     
crate::outgoing                |                           |                      | N/A             | open_conversation_tab_via_browser(chrome_port: u16, url: &str) -> R... | 20.59      | 0.69      
════════════════════════════════════════════════════════════════════════════════════════════════════════════════════════════════════════════════════════════════════════════════════════════════════════
